,prompt,chosen,rejected
10,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
강동구 어린이 회관 공지사항에서 조회 수가 177인 글의 작성자는 누구야

### context:
CREATE TABLE gd_notice_view (  IDX bigint DEFAULT NULL,  NAME varchar(8) DEFAULT NULL,  SUBJECT varchar(81) DEFAULT NULL,  CONTENT blob,  REGDATE varchar(19) DEFAULT NULL,  HIT varchar(9) DEFAULT NULL,  FILE1 varchar(70) DEFAULT NULL,  FILE2 varchar(50) DEFAULT NULL,  FILE3 varchar(48) DEFAULT NULL,  FILE4 varchar(47) DEFAULT NULL,  FILE5 varchar(31) DEFAULT NULL,  FILE6 varchar(34) DEFAULT NULL) ;

### Response:
",SELECT NAME FROM GD_NOTICE_VIEW WHERE HIT = 177,SELECT NAME FROM GD_NOTICE_VIEW WHERE SUBJECT = '강동구 어린이회관 공지사항' AND HIT = '177'
11,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
강서구 마곡동에 있는 경로당 중 이름에 아파트가 들어가는 곳의 사업장명을 알려줘

### context:
CREATE TABLE odsn_building_info (  ID varchar(9) DEFAULT NULL,  NM varchar(34) DEFAULT NULL,  ADDR_OLD varchar(49) DEFAULT NULL,  ADDR varchar(200) DEFAULT NULL,  PERMISSION_DT bigint DEFAULT NULL,  STATE varchar(8) DEFAULT NULL,  STOP_DT varchar(200) DEFAULT NULL,  SUSPENSION_START_DT varchar(200) DEFAULT NULL,  SUSPENSION_END_DT varchar(200) DEFAULT NULL,  RE_OPEN_DT varchar(19) DEFAULT NULL,  AREA varchar(200) DEFAULT NULL,  POST varchar(200) DEFAULT NULL,  ENTRNC_PSNCPA varchar(9) DEFAULT NULL,  CTLF_NUM varchar(6) DEFAULT NULL,  TOTAL_NUM varchar(8) DEFAULT NULL,  XCODE varchar(18) DEFAULT NULL,  YCODE varchar(18) DEFAULT NULL,  PERMISSION_NO varchar(21) DEFAULT NULL,  DETAIL_STAT_NM varchar(7) DEFAULT NULL) ;

### Response:
",SELECT NM FROM ODSN_BUILDING_INFO WHERE ADDR_OLD LIKE '%마곡동%' AND NM LIKE '%아파트%',SELECT NM FROM ODSN_BUILDING_INFO WHERE ADDR LIKE '%마곡동%' AND NM LIKE '%아파트%'
12,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
용산구 국공립 어린이집 수가 35개인 통계 연도를 알려줘

### context:
CREATE TABLE stat_child_number_info (  STYEAR varchar(19) DEFAULT NULL,  ARCODE bigint DEFAULT NULL,  ARCODENM varchar(8) DEFAULT NULL,  CNTTOT bigint DEFAULT NULL,  CNT0101 bigint DEFAULT NULL,  CNT0201 bigint DEFAULT NULL,  CNT0301 bigint DEFAULT NULL,  CNT0302 bigint DEFAULT NULL,  CNT0401 bigint DEFAULT NULL,  CNT0501 bigint DEFAULT NULL,  CNT0603 bigint DEFAULT NULL) ;

### Response:
",SELECT STYEAR FROM STAT_CHILD_NUMBER_INFO WHERE ARCODENM = '용산' AND CNT0101 = 35,SELECT STYEAR FROM STAT_CHILD_NUMBER_INFO WHERE CNT0301 = 35
13,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
도로명 주소에 도봉로가 들어가는 곳의 경로당 이름을 찾아줘

### context:
CREATE TABLE gb_senior_center (  NO varchar(7) DEFAULT NULL,  DONG_NM varchar(8) DEFAULT NULL,  SENIOR_CENTER varchar(18) DEFAULT NULL,  GB varchar(19) DEFAULT NULL,  TEL_NO varchar(27) DEFAULT NULL,  ROAD_ADDR varchar(43) DEFAULT NULL) ;

### Response:
",SELECT SENIOR_CENTER FROM GB_SENIOR_CENTER WHERE ROAD_ADDR LIKE '%도봉로%',SELECT SENIOR_CENTER FROM GB_SENIOR_CENTER WHERE ROAD_ADDR LIKE '%도봉로%'
14,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
자치구명이 서초이거나 관악인 곳의 소계를 보여줘

### context:
CREATE TABLE stat_sisul_satisfied_info (  STYEAR varchar(19) DEFAULT NULL,  ARCODE bigint DEFAULT NULL,  ARCODENM varchar(8) DEFAULT NULL,  GUBUN bigint DEFAULT NULL,  GUBUNNM varchar(10) DEFAULT NULL,  CNTOT varchar(11) DEFAULT NULL,  CN0101 varchar(11) DEFAULT NULL,  CN0201 varchar(11) DEFAULT NULL,  CN0301 varchar(11) DEFAULT NULL,  CN0302 varchar(11) DEFAULT NULL,  CN0401 varchar(11) DEFAULT NULL,  CN0501 varchar(11) DEFAULT NULL,  CN0603 varchar(11) DEFAULT NULL) ;

### Response:
",SELECT CNTOT FROM STAT_SISUL_SATISFIED_INFO WHERE ARCODENM = '서초' OR ARCODENM = '관악',SELECT CNTOT FROM STAT_SISUL_SATISFIED_INFO WHERE ARCODENM = '서초' OR ARCODENM = '관악'
15,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
노무 관련 상담의 중분류를 알려줘

### context:
CREATE TABLE global_job_counsel_typediv (  YYYYMM varchar(19) DEFAULT NULL,  CATEGORY_NM1 varchar(10) DEFAULT NULL,  CATEGORY_NM2 varchar(13) DEFAULT NULL,  TYPE1 bigint DEFAULT NULL,  TYPE2 bigint DEFAULT NULL,  TYPE3 bigint DEFAULT NULL,  TYPE4 bigint DEFAULT NULL,  TYPE5 bigint DEFAULT NULL,  TYPE6 bigint DEFAULT NULL,  TYPE_SUM bigint DEFAULT NULL) ;

### Response:
",SELECT CATEGORY_NM2 FROM GLOBAL_JOB_COUNSEL_TYPEDIV WHERE CATEGORY_NM1 = '노무',SELECT CATEGORY_NM2 FROM GLOBAL_JOB_COUNSEL_TYPEDIV WHERE CATEGORY_NM1 = '노무'
16,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
휘경데이케어센터의 주소를 알려줘

### context:
CREATE TABLE fclt_open_info_r_o_w_i (  FCLT_NM varchar(36) DEFAULT NULL,  FCLT_CD varchar(11) DEFAULT NULL,  HOME_ELDERY_FCLT_KIND_NM varchar(18) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(13) DEFAULT NULL,  HOME_ELDERY_RPRSNTV varchar(10) DEFAULT NULL,  JRSD_SGG_NM varchar(10) DEFAULT NULL,  FCLT_ADDR varchar(57) DEFAULT NULL) ;

### Response:
",SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_R_O_W_I WHERE FCLT_NM = '휘경데이케어센터',SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_R_O_W_I WHERE FCLT_NM = '휘경데이케어센터'
17,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
어린이집 이름에 구가 포함되고 유형이 직장인 곳의 상세 주소를 알려줘

### context:
CREATE TABLE child_care_info_g_j (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(21) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  CRADDR varchar(55) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE bigint DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  CRSPEC varchar(24) DEFAULT NULL,  CLASS_CNT_01 varchar(7) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(7) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CLASS_CNT_TOT varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_04 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRADDR FROM CHILD_CARE_INFO_G_J WHERE CRTYPENAME = '직장' AND CRNAME LIKE '%구%',SELECT CRADDR FROM CHILD_CARE_INFO_G_J WHERE CRNAME LIKE '%구%' AND CRTYPENAME = '직장'
18,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
예원의 시설 종류 상세명을 알려줘

### context:
CREATE TABLE fclt_open_info_g_s (  FCLT_NM varchar(36) DEFAULT NULL,  GS_WELFARE_FCLT_CD varchar(11) DEFAULT NULL,  GS_WELFARE_FCLT_KIND_NM varchar(26) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(16) DEFAULT NULL,  FCLT_ADDR varchar(63) DEFAULT NULL) ;

### Response:
",SELECT FCLT_KIND_DTL_NM FROM FCLT_OPEN_INFO_G_S WHERE FCLT_NM = '예원',SELECT FCLT_KIND_DTL_NM FROM FCLT_OPEN_INFO_G_S WHERE FCLT_NM = '예원'
19,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
정원이 20명인 어린이집의 이름을 찾아줘

### context:
CREATE TABLE child_care_info_g_a (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(28) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(61) DEFAULT NULL,  CRTELNO varchar(18) DEFAULT NULL,  CRFAXNO varchar(18) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE varchar(8) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEENDDT varchar(19) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(7) DEFAULT NULL,  CLASS_CNT_03 varchar(6) DEFAULT NULL,  CLASS_CNT_04 varchar(6) DEFAULT NULL,  CHILD_CNT_00 varchar(7) DEFAULT NULL,  CHILD_CNT_02 varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_04 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL,  EM_CNT_A2 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRNAME FROM CHILD_CARE_INFO_G_A WHERE CRCAPAT = '20',SELECT CRNAME FROM CHILD_CARE_INFO_G_A WHERE CRCAPAT = '20'
